Sentence	Label
שלשים ותשעה מפקדים	1
שלשים ותשע מפקדים	0
שבעים ושניים אגרטלים	1
שבעים ושתים אגרטלים	0
חמישים וחמישה מכוניות	0
חמישים וחמש מכוניות	1
חמישים ושלושה חלונות	1
חמישים ושלש חלונות	0
ששים ושבעה מסדרונות	1
ששים ושבע מסדרונות	0
ארבעים ושניים סכינים	1
ארבעים ושתים סכינים	0
שלשים ושבעה סוסים	1
שלשים ושבע סוסים	0
עשרים ושמונה סדינים	1
עשרים ושמונה סדינים	1
שמונים ושלושה מגירות	0
שמונים ושלש מגירות	1
תשעים ותשעה כלבים	1
תשעים ותשע כלבים	0
חמישים ושניים כריות	0
חמישים ושתים כריות	1
עשרים ואחד מכנסיים	1
עשרים ואחת מכנסיים	0
תשעים מגירות	1
תשעים מגירות	1
תשעה עשר ציפורים	1
תשע עשרה ציפורים	0
ששים ושניים גינות	0
ששים ושתים גינות	1
ששים ושמונה עיזים	1
ששים ושמונה עיזים	1
תשעים סדינים	1
תשעים סדינים	1
שבעים וארבעה מזלגות	1
שבעים וארבע מזלגות	0
עשרים וארבעה ספסלים	1
עשרים וארבע ספסלים	0
שלושה עשר ארצות	0
שלש עשרה ארצות	1
שמונים ותשעה גינות	0
שמונים ותשע גינות	1
שלשים ושישה קופסאות	0
שלשים ושש קופסאות	1
תשעים ותשעה עצים	1
תשעים ותשע עצים	0
ארבעה שידות	0
ארבע שידות	1
שבעה עשר סכינים	1
שבע עשרה סכינים	0
ששים ואחד עצים	1
ששים ואחת עצים	0
תשעים וארבעה גינות	0
תשעים וארבע גינות	1
ששים וארבעה מסכים	1
ששים וארבע מסכים	0
שלשים ושניים אגרטלים	1
שלשים ושתים אגרטלים	0
חמישים ושמונה בקבוקים	1
חמישים ושמונה בקבוקים	1
שלשים ושלושה תיקים	1
שלשים ושלש תיקים	0
ארבעים ושמונה ארנבים	1
ארבעים ושמונה ארנבים	1
שלושה שטיחים	1
שלש שטיחים	0
שמונה מכנסיים	1
שמונה מכנסיים	1
ששים ושניים פארקים	1
ששים ושתים פארקים	0
שמונים ואחד ילדות	0
שמונים ואחת ילדות	1
שבעה נעלים	1
שבע נעלים	0
תשעים ותשעה בשרים	1
תשעים ותשע בשרים	0
עשרים ואחד נעלים	1
עשרים ואחת נעלים	0
תשעה שטיחים	1
תשע שטיחים	0
שבעים ושמונה תוכנות	1
שבעים ושמונה תוכנות	1
שלשים ואחד חולצות	1
שלשים ואחת חולצות	0
ארבעים ותשעה תחתונים	1
ארבעים ותשע תחתונים	0
ארבעים ושניים דוכנים	1
ארבעים ושתים דוכנים	0
ארבעים ושבעה דוכנים	1
ארבעים ושבע דוכנים	0
שלושה עשר נעלים	1
שלש עשרה נעלים	0
ארבעים וחמישה מקלדות	0
ארבעים וחמש מקלדות	1
ארבעה אגרטלים	1
ארבע אגרטלים	0
תשעים ושבעה שידות	0
תשעים ושבע שידות	1
חמישים ותשעה מפקדים	1
חמישים ותשע מפקדים	0
עשרים וארבעה סיפורים	1
עשרים וארבע סיפורים	0
שלשים ושניים סוסים	1
שלשים ושתים סוסים	0
תשעים וחמישה כסאות	1
תשעים וחמש כסאות	0
ארבעה פארקים	1
ארבע פארקים	0
חמישה עשר חלונות	1
חמש עשרה חלונות	0
שבעים ותשעה מיטות	0
שבעים ותשע מיטות	1
שמונים ושישה מחשבים	1
שמונים ושש מחשבים	0
שמונים ושמונה בניינים	1
שמונים ושמונה בניינים	1
עשרים וחמישה קסדות	0
עשרים וחמש קסדות	1
ארבעים ותשעה דרכים	0
ארבעים ותשע דרכים	1
שבעים ושניים כבישים	1
שבעים ושתים כבישים	0
תשעים ושלושה תיקים	1
תשעים ושלש תיקים	0
שישה וילונות	1
שש וילונות	0
חמישה מגירות	0
חמש מגירות	1
עשרים ושניים מיטות	0
עשרים ושתים מיטות	1
חמישה עשר צמידים	1
חמש עשרה צמידים	0
עשרים וחמישה כסאות	1
עשרים וחמש כסאות	0
עשרים ותשעה מלונות	1
עשרים ותשע מלונות	0
חמישים ושמונה עכברים	1
חמישים ושמונה עכברים	1
עשרים וארבעה מיטות	0
עשרים וארבע מיטות	1
שבעים משחקים	1
שבעים משחקים	1
עשרים מסכים	1
עשרים מסכים	1
עשרה בניינים	1
עשר בניינים	0
שלשים ושישה סכינים	1
שלשים ושש סכינים	0
חמישים צלחות	1
חמישים צלחות	1
שלושה כבישים	1
שלש כבישים	0
חמישים ותשעה חדרים	1
חמישים ותשע חדרים	0
חמישים עבודות	1
חמישים עבודות	1
תשעים ניירות	1
תשעים ניירות	1
תשעים פירות	1
תשעים פירות	1
ששים ושישה טלפונים	1
ששים ושש טלפונים	0
ארבעים וארבעה תוכנות	0
ארבעים וארבע תוכנות	1
תשעים ושלושה מקצועות	1
תשעים ושלש מקצועות	0
שלשים קומקומים	1
שלשים קומקומים	1
תשעים ושבעה ארונות	1
תשעים ושבע ארונות	0
ששים וארבעה מגירות	0
ששים וארבע מגירות	1
חמישים ושישה ירקות	1
חמישים ושש ירקות	0
ששים ושבעה כלבים	1
ששים ושבע כלבים	0
ארבעים וארבעה ציפורים	1
ארבעים וארבע ציפורים	0
חמישים בקבוקים	1
חמישים בקבוקים	1
שמונה עבודות	1
שמונה עבודות	1
עשרים נדנדות	1
עשרים נדנדות	1
תשעים וחמישה מוצצים	1
תשעים וחמש מוצצים	0
עשרה עבודות	0
עשר עבודות	1
ששים ושישה גלידות	0
ששים ושש גלידות	1
שבעה חדרים	1
שבע חדרים	0
שניים ילדות	0
שתים ילדות	1
תשעים ושישה כריות	0
תשעים ושש כריות	1
שמונים ואחד שירים	1
שמונים ואחת שירים	0
עשרים ושלושה כסאות	1
עשרים ושלש כסאות	0
עשרה עצים	1
עשר עצים	0
חמישה עשר כריות	0
חמש עשרה כריות	1
שמונה עיזים	1
שמונה עיזים	1
מאה עצים	1
מאה עצים	1
שלושה עשר אפרסקים	1
שלש עשרה אפרסקים	0
ששים וארבעה קופסאות	0
ששים וארבע קופסאות	1
שלושה בגדים	1
שלש בגדים	0
עשרים ותשעה טיסות	0
עשרים ותשע טיסות	1
עשרה חברות	0
עשר חברות	1
תשעה עשר עצים	1
תשע עשרה עצים	0
שישה אדמות	0
שש אדמות	1
תשעים ותשעה אדמות	0
תשעים ותשע אדמות	1
שמונים וחמישה תפוחים	1
שמונים וחמש תפוחים	0
שלשים ושישה מגירות	1
שלשים ושש מגירות	0
ארבעים ואחד אפרסקים	1
ארבעים ואחת אפרסקים	0
תשעה עצים	1
תשע עצים	0
תשעים ואחד בתים	1
תשעים ואחת בתים	0
חמישה מפקדים	1
חמש מפקדים	0
שמונים ושלושה כוסות	0
שמונים ושלש כוסות	1
תשעים ושמונה גבינות	1
תשעים ושמונה גבינות	1
עשרים ואחד טלפונים	1
עשרים ואחת טלפונים	0
שניים עשר שידות	0
שתים עשרה שידות	1
שמונים ושישה מזוזות	0
שמונים ושש מזוזות	1
ששים ואחד חיילות	0
ששים ואחת חיילות	1
ארבעים ושמונה כפכפים	1
ארבעים ושמונה כפכפים	1
שמונים ושמונה שידות	1
שמונים ושמונה שידות	1
שמונים ושישה מזלגות	1
שמונים ושש מזלגות	0
שבעים ושניים כבלים	1
שבעים ושתים כבלים	0
ארבעים ושישה עצים	1
ארבעים ושש עצים	0
ששים ושבעה אדמות	0
ששים ושבע אדמות	1
חמישה אוזניות	0
חמש אוזניות	1
ארבעים ושלושה בניינים	1
ארבעים ושלש בניינים	0
חמישים מפקדים	1
חמישים מפקדים	1
שבעה אזורים	1
שבע אזורים	0
שבעה עשר צמידים	1
שבע עשרה צמידים	0
שלשים ושלושה מכוניות	0
שלשים ושלש מכוניות	1
שבעה עשר בתים	1
שבע עשרה בתים	0
שלשים וחמישה עכברים	1
שלשים וחמש עכברים	0
עשרים ושניים ילדות	0
עשרים ושתים ילדות	1
חמישים וארבעה כפכפים	1
חמישים וארבע כפכפים	0
שמונים מזלגות	1
שמונים מזלגות	1
מאה משחקים	1
מאה משחקים	1
ארבעים וארבעה כריות	0
ארבעים וארבע כריות	1
שמונים ושישה צלחות	0
שמונים ושש צלחות	1
שבעים וארבעה מזלגות	1
שבעים וארבע מזלגות	0
תשעים מכונות	1
תשעים מכונות	1
שמונים ותשעה דוכנים	1
שמונים ותשע דוכנים	0
תשעים וארבעה גינות	0
תשעים וארבע גינות	1
שבעים חולצות	1
שבעים חולצות	1
תשעים ואחד מסכים	1
תשעים ואחת מסכים	0
תשעים ואחד אקדחים	1
תשעים ואחת אקדחים	0
ארבעים עיזים	1
ארבעים עיזים	1
ארבעים עכברים	1
ארבעים עכברים	1
שמונה עשר מכוניות	0
שמונה עשרה מכוניות	1
עשרים מיטות	1
עשרים מיטות	1
עשרה חולצות	0
עשר חולצות	1
שמונים ושמונה חופים	1
שמונים ושמונה חופים	1
שבעים מכנסיים	1
שבעים מכנסיים	1
שבעים ואחד טלפונים	1
שבעים ואחת טלפונים	0
שלשים ותשעה קרציות	1
שלשים ותשע קרציות	0
ארבעים וחמישה אוזניות	0
ארבעים וחמש אוזניות	1
אחד שדות	1
אחת שדות	0
חמישים ושישה מנופים	1
חמישים ושש מנופים	0
ארבעים ואחד אדמות	0
ארבעים ואחת אדמות	1
ששים ותשעה גלידות	0
ששים ותשע גלידות	1
שלושה עשר אגרטלים	1
שלש עשרה אגרטלים	0
שמונים וחמישה שטחים	1
שמונים וחמש שטחים	0
ששים נדנדות	1
ששים נדנדות	1
ארבעים ושלושה דרכים	0
ארבעים ושלש דרכים	1
שלושה כפות	0
שלש כפות	1
עשרים ושבעה מטבחים	1
עשרים ושבע מטבחים	0
חמישה טלוויזיות	0
חמש טלוויזיות	1
שמונה עשר שידות	0
שמונה עשרה שידות	1
ארבעה דוכנים	1
ארבע דוכנים	0
ששים שידות	1
ששים שידות	1
ששים וארבעה אקדחים	1
ששים וארבע אקדחים	0
תשעים ואחד פירות	1
תשעים ואחת פירות	0
אחד מקצועות	1
אחת מקצועות	0
שבעים ואחד פירות	1
שבעים ואחת פירות	0
שמונים ושמונה יתושים	1
שמונים ושמונה יתושים	1
שמונים כוסות	1
שמונים כוסות	1
שבעים שולחנות	1
שבעים שולחנות	1
חמישים ושבעה ארנבים	1
חמישים ושבע ארנבים	0
שלושה מדפסות	0
שלש מדפסות	1
ששים ושניים מקצועות	1
ששים ושתים מקצועות	0
ארבעים וחמישה מדפים	1
ארבעים וחמש מדפים	0
עשרים וחמישה מסכים	1
עשרים וחמש מסכים	0
חמישים ואחד תפוחים	1
חמישים ואחת תפוחים	0
שבעים וחמישה מצגות	0
שבעים וחמש מצגות	1
שלשים וארבעה דרכים	1
שלשים וארבע דרכים	0
תשעים ושישה מוצצים	1
תשעים ושש מוצצים	0
שבעים מקצועות	1
שבעים מקצועות	1
תשעים ושישה צלחות	0
תשעים ושש צלחות	1
ארבעים ושבעה בקבוקים	1
ארבעים ושבע בקבוקים	0
תשעים וארבעה מלונות	1
תשעים וארבע מלונות	0
ששים וחמישה שדות	1
ששים וחמש שדות	0
תשעה ילדים	1
תשע ילדים	0
עשרים ושבעה מסדרונות	1
עשרים ושבע מסדרונות	0
שבעים ושלושה מחברות	0
שבעים ושלש מחברות	1
חמישים ואחד מכונות	0
חמישים ואחת מכונות	1
שלשים ושלושה ארצות	0
שלשים ושלש ארצות	1
ששים ושמונה אוזניות	1
ששים ושמונה אוזניות	1
שמונים ושמונה שדות	1
שמונים ושמונה שדות	1
שמונים ותשעה שידות	0
שמונים ותשע שידות	1
עשרים וארבעה כלבים	1
עשרים וארבע כלבים	0
עשרה דירות	0
עשר דירות	1
ששים ושישה בניינים	1
ששים ושש בניינים	0
שלשים ושניים מיטות	1
שלשים ושתים מיטות	0
ארבעים ושישה טיסות	0
ארבעים ושש טיסות	1
תשעים ואחד כוסות	0
תשעים ואחת כוסות	1
שלשים וחמישה מפקדות	1
שלשים וחמש מפקדות	0
ארבעים ותשעה פרות	1
ארבעים ותשע פרות	0
שלשים ואחד מזוזות	0
שלשים ואחת מזוזות	1
עשרים אדמות	1
עשרים אדמות	1
עשרים ושישה מפקדים	1
עשרים ושש מפקדים	0
ארבעים וארבעה טלוויזיות	0
ארבעים וארבע טלוויזיות	1
שמונים ותשעה מקלדות	0
שמונים ותשע מקלדות	1
שמונים ותשעה עריסות	0
שמונים ותשע עריסות	1
ששים וארבעה חלונות	1
ששים וארבע חלונות	0
שלשים ושמונה מגירות	1
שלשים ושמונה מגירות	1
עשרים ואחד ציפורים	1
עשרים ואחת ציפורים	0
חמישים ותשעה תפוחים	1
חמישים ותשע תפוחים	0
שלשים ואחד חיילים	1
שלשים ואחת חיילים	0
עשרים ושמונה דירות	1
עשרים ושמונה דירות	1
תשעים ושישה סכינים	1
תשעים ושש סכינים	0
ארבעים וארבעה מיטות	0
ארבעים וארבע מיטות	1
ארבעים ושמונה נדנדות	1
ארבעים ושמונה נדנדות	1
שבעים מקלדות	1
שבעים מקלדות	1
שמונים ושישה מנופים	1
שמונים ושש מנופים	0
ששים ושניים מזלגות	1
ששים ושתים מזלגות	0
שלשים אוזניות	1
שלשים אוזניות	1
ששים עפרונות	1
ששים עפרונות	1
שלשים ושבעה מיטות	0
שלשים ושבע מיטות	1
תשעה עשר מאכלים	1
תשע עשרה מאכלים	0
שמונים ושניים מכוניות	0
שמונים ושתים מכוניות	1
תשעים ותשעה אדמות	0
תשעים ותשע אדמות	1
מאה מזלגות	1
מאה מזלגות	1
עשרים ואחד סדינים	1
עשרים ואחת סדינים	0
אחד מדפסות	0
אחת מדפסות	1
עשרים ושישה מכוניות	0
עשרים ושש מכוניות	1
ששים ושלושה אגרטלים	1
ששים ושלש אגרטלים	0
שמונים וחמישה פרות	1
שמונים וחמש פרות	0
מאה כריות	1
מאה כריות	1
ארבעים ואחד סיפורים	1
ארבעים ואחת סיפורים	0
ששים ושניים שדות	1
ששים ושתים שדות	0
שמונים ושניים תפוחים	1
שמונים ושתים תפוחים	0
עשרה שולחנות	1
עשר שולחנות	0
חמישים ושלושה כפות	0
חמישים ושלש כפות	1
ששים ושבעה מצגות	0
ששים ושבע מצגות	1
עשרים ואחד מפקדים	1
עשרים ואחת מפקדים	0
ששים ושמונה מפקדים	1
ששים ושמונה מפקדים	1
שמונים ואחד מכונות	0
שמונים ואחת מכונות	1
שלשים ושלושה מיטות	0
שלשים ושלש מיטות	1
עשרה מגשים	1
עשר מגשים	0
שלשים ואחד מסכים	1
שלשים ואחת מסכים	0
שלשים וארבעה דוכנים	1
שלשים וארבע דוכנים	0
תשעה אדמות	0
תשע אדמות	1
ארבעים מזלגות	1
ארבעים מזלגות	1
שמונים וחמישה מגירות	0
שמונים וחמש מגירות	1
ארבעים ושמונה מצגות	1
ארבעים ושמונה מצגות	1
ששים וחמישה עפרונות	1
ששים וחמש עפרונות	0
עשרים ושבעה עצים	1
עשרים ושבע עצים	0
שלשים וארבעה כפכפים	1
שלשים וארבע כפכפים	0
חמישים ושניים מפקדים	1
חמישים ושתים מפקדים	0
ששים ושלושה מלונות	1
ששים ושלש מלונות	0
שבעים ושניים גלידות	0
שבעים ושתים גלידות	1
חמישה מדפים	1
חמש מדפים	0
שניים שטיחים	1
שתים שטיחים	0
עשרים ותשעה דרכים	0
עשרים ותשע דרכים	1
עשרים ושבעה שירים	1
עשרים ושבע שירים	0
תשעים וארבעה עצים	1
תשעים וארבע עצים	0
שמונה טיסות	1
שמונה טיסות	1
שמונים ושישה צמידים	1
שמונים ושש צמידים	0
חמישים וחמישה דרכים	0
חמישים וחמש דרכים	1
שמונים ושישה מזוזות	0
שמונים ושש מזוזות	1
עשרים וארבעה עצים	1
עשרים וארבע עצים	0
עשרה דוכנים	1
עשר דוכנים	0
מאה כריות	1
מאה כריות	1
ארבעה צמידים	1
ארבע צמידים	0
תשעים ואחד תחתונים	1
תשעים ואחת תחתונים	0
חמישים ושניים דוכנים	1
חמישים ושתים דוכנים	0
חמישים ושלושה צמידים	1
חמישים ושלש צמידים	0
שלשים ואחד כלבים	1
שלשים ואחת כלבים	0
שמונים ואחד רובים	1
שמונים ואחת רובים	0
שלושה עשר מדפסות	0
שלש עשרה מדפסות	1
שלשים ושניים קומקומים	1
שלשים ושתים קומקומים	0
תשעים ושניים תבשילים	1
תשעים ושתים תבשילים	0
ארבעה בקבוקים	1
ארבע בקבוקים	0
